,id,date,ccp,gender,age,birth_place,mar_status,ed_level,house_head,glean,electricity,fridge_freezer,fridge_freezer_num,water,matress,matress_num,mobile_phone,mobile_phone_num,smart_phone,smart_phone_num,fan,fan_num,tv,tv_num,radio,radio_num,stove,stove_num,transport,transport_num,floor,floor_other,wall,wall_other,roof,roof_other,access_credit_loans,community_participation,ccp_member,ccp_participation,decision_making_manag,decision_making_fish,change_seagrass,direction_change_seagrass,causes_change_seagrass,change_fish,direction_change_resources,causes_change_resources,link_seagrass_resources,capacity_change_practice,capacity_change_livelihood,capacity_organize,local_knowledge,agency_change_seagrass,agency_change_seagrass_other,agency_change_capture,agency_change_capture_other,action_seagrass,action_seagrass_other,human_mang_seagrass,action_capture,action_capture_other,human_mang_capture,gear,hours,cap_daily_total,value,persons,pract_cat,cpue
0,05032023JOSC01,5/1/2023 10:00:00 AM,josina_machel,f,49.0,community,married,primary,respondent and other,yes,1,0,,0,1,1.0,1,1.0,0,,0,,1,1.0,1,1.0,0,,no_transport,,concrete,,metal,,metal,,none,yes,no,yes,no,respondent,yes,less,['climate_change'],yes,sig_less,['climate_change'],unsure,agree strongly,agree strongly,agree strongly,agree weakly,['no_change'],,['no_change'],,['unsure'],,not recorded,['fishing_manag'],,yes,glean,6.0,12.0,300.0,,glean,2.0
1,05032023JOSC02,5/1/2023 10:00:00 AM,josina_machel,f,20.0,community,married,secondary,other member,yes,0,0,,0,1,1.0,1,1.0,0,,0,,0,,0,,0,,no_transport,,concrete,,reeds,,straw,,rotating_savings,yes,yes,yes,yes,respondent,no,no_change,['NR'],yes,less,['unsure'],unsure,agree strongly,agree strongly,agree strongly,disagree slightly,['fish_less'],,['no_change'],,['unsure'],,not recorded,['fishing_manag'],,yes,glean,4.0,2.625,300.0,,glean,0.65625
2,05032023JOSC03,5/1/2023 10:00:00 AM,josina_machel,m,37.0,community,married,illiterate,respondent,no,1,0,,0,0,,1,1.0,0,,0,,0,,0,,0,,no_transport,,concrete,,other,Macuti,straw,,none,no,no,yes,no,respondent,yes,sig_less,['destructive_gear'],yes,sig_less,['fishing_pressure'],no,agree strongly,agree strongly,agree strongly,agree strongly,['no_change'],,['no_change'],,['change_gear'],,yes,['fishing_manag'],,yes,gill_net,7.0,6.0,400.0,2.0,fish,0.42857142857142855
3,05032023JOSC04,5/1/2023 10:00:00 AM,josina_machel,f,31.0,community,married,primary,other member,yes,0,0,,0,0,,0,,1,1.0,0,,0,,0,,0,,no_transport,,concrete,,reeds,,straw,,none,yes,no,yes,no,respondent,yes,more,['unsure'],yes,sig_less,['destructive_gear'],no,agree strongly,agree strongly,agree strongly,agree strongly,['no_change'],,['no_change'],,['unsure'],,not recorded,['fishing_manag'],,yes,glean,5.0,3.0,500.0,,glean,0.6
4,05032023JOSC05,5/1/2023 10:00:00 AM,josina_machel,f,30.0,community,single,secondary,other member,no,1,0,,0,1,2.0,0,,0,,1,1.0,1,1.0,0,,0,,no_transport,,concrete,,reeds,,metal,,none,no,no,no,no,respondent,no,no_change,['NR'],yes,sig_less,['climate_change'],yes,agree strongly,agree strongly,agree strongly,agree strongly,['leave'],,['no_change'],,['fishing_manag'],,yes,['fishing_manag'],,yes,shrimp_net,5.0,3.5,400.0,2.0,shrimp_net,0.35
5,05032023JOSC06,5/1/2023 10:00:00 AM,josina_machel,f,52.0,community,married,primary,other member,yes,1,0,,0,1,1.0,1,1.0,0,,0,,1,1.0,0,,0,,no_transport,,concrete,,metal,,metal,,none,yes,yes,yes,yes,respondent,yes,sig_less,['climate_change'],yes,sig_less,"['fishing_pressure', 'climate_change']",no,disagree strongly,disagree slightly,agree strongly,disagree strongly,['no_change'],,['no_change'],,['unsure'],,not recorded,['reduce_fishing'],,yes,glean,2.5,10.0,500.0,,glean,4.0
6,05032023JOSC07,5/1/2023 10:00:00 AM,josina_machel,m,47.0,community,single,primary,respondent,no,1,0,,0,0,,1,1.0,1,1.0,0,,1,1.0,0,,0,,no_transport,,concrete,,reeds,,metal,,none,yes,yes,yes,yes,respondent,yes,sig_less,"['destructive_gear', 'climate_change']",yes,sig_less,['fishing_pressure'],yes,agree strongly,agree strongly,agree strongly,agree strongly,['no_change'],,['no_change'],,['fishing_manag'],,yes,['fishing_manag'],,yes,diving,3.0,6.0,300.0,,fish,2.0
7,05032023JOSC08,5/1/2023 10:00:00 AM,josina_machel,m,46.0,community,married,primary,respondent,no,1,1,1.0,0,1,1.0,1,1.0,0,,0,,1,1.0,1,1.0,1,1.0,no_transport,,concrete,,ciment,,metal,,none,no,yes,yes,yes,respondent,yes,sig_less,['destructive_gear'],yes,sig_less,['destructive_gear'],yes,agree weakly,disagree strongly,agree strongly,agree strongly,['fish_less'],,['leave'],,['change_gear'],,yes,['fishing_manag'],,yes,hand_line,2.0,7.0,500.0,,fish,3.5
8,07032023NHMUC01,5/1/2023 10:00:00 AM,nhamua,f,60.0,community,married,primary,other member,no,1,0,,0,1,1.0,0,,0,,0,,0,,0,,0,,no_transport,,concrete,,ciment,,metal,,none,no,no,yes,no,respondent,yes,sig_less,['unsure'],yes,sig_less,['climate_change'],yes,disagree strongly,agree weakly,agree strongly,disagree strongly,['no_change'],,['no_change'],,['unsure'],,not recorded,['unsure'],,not recorded,shrimp_net,3.0,2.0999999999999996,300.0,2.0,shrimp_net,0.3499999999999999
9,07032023NHMUC02,5/1/2023 10:00:00 AM,nhamua,f,70.0,community,widowed,primary,respondent,yes,0,0,,0,1,1.0,0,,0,,0,,0,,0,,0,,no_transport,,concrete,,metal,,metal,,rotating_savings,yes,no,yes,no,respondent,yes,sig_less,['climate_change'],no,no_change,['NR'],yes,agree strongly,agree strongly,agree strongly,disagree slightly,['no_change'],,['fish_less'],,['unsure'],,no,['unsure'],,no,glean,2.5,2.0,100.0,,glean,0.8
