,ObjectID,GlobalID,_focal_resource_label,sg_dependence,resource_quality_change,resource_quantity_change,management,compliance,ParentGlobalID,CreationDate,Creator,EditDate,Editor,management_other,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,communities
0,9,c90b73f9-9d9b-41e5-8a3d-78903a48426b,mihili (1),low,sig_worse,sig_less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,veda de area,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
1,10,137bfef8-be26-49d3-a0bf-3e864b58fb34,mavionho  (2),high,sig_worse,less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,Veda de area,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1,"nhamua,josina_machel,chamane,marrambone,mucucune,nhamaxaxa,nguja"
2,11,95c4a517-3e77-4f10-97f7-82bc3ecc9a33,salani (3),low,sig_worse,sig_less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,Veda de area,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1,"ilha,josina_machel,chamane,marrambone,mucucune,nhamaxaxa"
3,12,b7af52e9-5b57-4bd3-a8ba-7f4186cb7cc7,sigulula  (6),low,sig_worse,sig_less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,veda de area,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,1,"josina_machel,marrambone,mucucune,nhampossa,njuga"
4,13,9e4bdef5-fc9f-4588-ab71-2e4eeb4f0839,dzindrolo (50),high,sig_worse,sig_less,"gear_closure,other",75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,nhampossa,madava,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
5,14,d66aff71-ef26-4899-88de-855615223389,mavandzi (56),high,sig_worse,no_change,area_closure,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,nhampossa,madava,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
6,15,ff366019-2665-404f-ae43-e240e0f8d84b,matewo (60),high,sig_worse,sig_less,none,,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,1,"ilha,nhamua,josina_machel,chamane,sahane"
7,16,d11f0fde-f240-4f36-8a71-c2ee9b555f75,"mapalo, mavalo (61)",low,sig_worse,sig_less,none,,b6f6afb4-7c5a-44a1-97d5-74482f766527,5/17/2023 11:08:09 AM,rthoms_wri,5/17/2023 11:08:09 AM,rthoms_wri,,61,livalo,mavalo,ostra,Margaritidae,Margaritidae,mollusc,bivalve,1,"ilha,nhamua,josina_machel"
8,17,b7d324ca-1fab-412e-891d-e03eecb2a1ee,mihili (1),none,sig_worse,sig_less,gear_closure,75_100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,5/17/2023 11:08:10 AM,rthoms_wri,5/17/2023 11:08:10 AM,rthoms_wri,,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
9,18,b1a1f47a-2838-4e2c-b4ac-40138ce955d8,mavionho  (2),none,sig_worse,sig_less,gear_closure,75_100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,5/17/2023 11:08:10 AM,rthoms_wri,5/17/2023 11:08:10 AM,rthoms_wri,,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1,"nhamua,josina_machel,chamane,marrambone,mucucune,nhamaxaxa,nguja"
10,19,c0429626-ab56-42f1-89c4-89322c3d9272,salani (3),none,sig_worse,sig_less,gear_closure,75_100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,5/17/2023 11:08:10 AM,rthoms_wri,5/17/2023 11:08:10 AM,rthoms_wri,,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1,"ilha,josina_machel,chamane,marrambone,mucucune,nhamaxaxa"
11,20,0e3fb429-55ef-475c-80f2-fb6887f4edb9,dzindrolo (50),high,sig_worse,sig_less,none,,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,5/17/2023 11:08:10 AM,rthoms_wri,5/17/2023 11:08:10 AM,rthoms_wri,,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,nhampossa,madava,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
12,21,3494849f-f64e-4021-ac18-d730d54d368e,mavandzi (56),mod,sig_worse,sig_less,none,,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,5/17/2023 11:08:10 AM,rthoms_wri,5/17/2023 11:08:10 AM,rthoms_wri,,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,nhampossa,madava,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
13,22,26036cd5-f683-4f85-9a95-d69f03390745,matewo (60),none,sig_worse,sig_less,seasonal_harvest,100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,5/17/2023 11:08:10 AM,rthoms_wri,5/17/2023 11:08:10 AM,rthoms_wri,,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,1,"ilha,nhamua,josina_machel,chamane,sahane"
14,23,84c8620f-e6df-4c03-9892-248f424a6a5b,togoma (78),none,sig_worse,unsure,none,,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,5/17/2023 11:08:10 AM,rthoms_wri,5/17/2023 11:08:10 AM,rthoms_wri,,78,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,1,"mucucune,nhampossa,madava,kuguana"
15,24,96356a3a-d677-4efd-8b46-dc20ab4bc602,mihili (1),none,sig_worse,sig_less,gear_closure,75_100,4936c582-ca79-48b3-8919-e4ab7dbb035d,5/20/2023 11:28:17 AM,rthoms_wri,5/20/2023 11:28:17 AM,rthoms_wri,,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
16,25,9d350b85-3aa9-4c38-881d-88c754e00123,salani (3),none,sig_worse,sig_less,gear_closure,75_100,4936c582-ca79-48b3-8919-e4ab7dbb035d,5/20/2023 11:28:17 AM,rthoms_wri,5/20/2023 11:28:17 AM,rthoms_wri,,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1,"ilha,josina_machel,chamane,marrambone,mucucune,nhamaxaxa"
17,26,eb07e22e-8fc3-4b75-8769-5fa5b3cd2940,nhakusi (37),none,no_change,no_change,none,,4936c582-ca79-48b3-8919-e4ab7dbb035d,5/20/2023 11:28:17 AM,rthoms_wri,5/20/2023 11:28:17 AM,rthoms_wri,,37,nhakuse,,,,,bony fish,fish,0,
18,27,df922899-7da3-4d80-a84d-6b864bbdfaac,dzindrolo (50),high,no_change,no_change,none,,4936c582-ca79-48b3-8919-e4ab7dbb035d,5/20/2023 11:28:17 AM,rthoms_wri,5/20/2023 11:28:17 AM,rthoms_wri,,50,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,nhampossa,madava,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
19,28,21fa80d8-f873-438e-b4e4-6476f120f003,mavandzi (56),none,sig_worse,sig_less,none,,4936c582-ca79-48b3-8919-e4ab7dbb035d,5/20/2023 11:28:17 AM,rthoms_wri,5/20/2023 11:28:17 AM,rthoms_wri,,56,lipandzi,mavbandzi,Camarao,Penaeidae,Penaeidae,crustacean,prawns,1,"ilha,nhamua,josina_machel,chamane,marrambone,mucucune,nhampossa,madava,kuguana,nhamaxaxa,sahane,nguja,morrumbene"
20,29,00f6681d-3879-44cb-9491-3e5852111602,matewo (60),high,no_change,sig_more,seasonal_harvest,75_100,4936c582-ca79-48b3-8919-e4ab7dbb035d,5/20/2023 11:28:17 AM,rthoms_wri,5/20/2023 11:28:17 AM,rthoms_wri,,60,litewo,matewo,,Pinna muricata,Pinnidae,mollusc,bivalve,1,"ilha,nhamua,josina_machel,chamane,sahane"
