,resource_id,sg_dep_median,sg_dep_cat,tradition,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
234,01,0.0,none,1.0,d63dc568-99da-438e-bd41-3a79bf13b0d9,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,07022023CUGBO8,kuguana,f,glean,glean
19,03,0.5,none,1.0,5861a90d-3554-4a81-b5e8-e8f9870b88fb,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,04022023CHAB02,chamane,m,hand_line,fish
95,70,0.0,none,1.0,1469e0fd-0691-405e-b1e8-c144e854fbb7,nhakumbe,,Amêijoa,Serratina capsoides,Tellinidae,mollusc,bivalve,1.0,09022023NHMPB03,nhampossa,f,shrimp_net,shrimp_net
99,78,0.0,none,1.0,a9325c3b-f81d-431a-9628-6b0b57ede5e3,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,1.0,09022023NHMPB05,nhampossa,f,gill_net,fish
100,70,0.0,none,1.0,e12a739b-ed4a-4ff7-94db-d034a066dd23,nhakumbe,,Amêijoa,Serratina capsoides,Tellinidae,mollusc,bivalve,1.0,08022023MADB01,madava,f,shrimp_net,shrimp_net
101,70,0.0,none,1.0,e12a739b-ed4a-4ff7-94db-d034a066dd23,nhakumbe,,Amêijoa,Serratina capsoides,Tellinidae,mollusc,bivalve,1.0,08022023MADB01,madava,f,fence_trap,fish
104,78,0.0,none,1.0,6aff3bd5-1d7f-4dfc-a530-7fd33a3b1432,togoma,dzitogoma,Caracóis,Volema pyrum,Melongenidae,mollusc,gastropod,1.0,08022023MADB05,madava,m,gill_net,fish
105,01,0.0,none,1.0,8407b1b2-9c62-4161-a560-a8c8415ca76a,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,08022023MADB06,madava,m,gill_net,fish
106,70,0.0,none,1.0,8c5ddba3-d736-4831-b7e4-f18bb3d47eae,nhakumbe,,Amêijoa,Serratina capsoides,Tellinidae,mollusc,bivalve,1.0,08022023MADB07,madava,f,glean,glean
107,52,0.0,none,1.0,1436c090-ffc1-44f1-8a1f-115e2164b9b1,gihologo,sihologo,Santola,scylla serrata ,Portunidae,crustacean,crabs,1.0,08022023MADB08,madava,f,shrimp_net,shrimp_net
108,52,0.0,none,1.0,1436c090-ffc1-44f1-8a1f-115e2164b9b1,gihologo,sihologo,Santola,scylla serrata ,Portunidae,crustacean,crabs,1.0,08022023MADB08,madava,f,glean,glean
