,_focal_resource_label,sg_dependence,resource_quality_change,resource_quantity_change,management,compliance,ParentGlobalID,management_other,focal_resource,id,date,ccp,seagrass_quality_change,sg_quality_change_note,seagrass_quantity_change,sg_quantity_change_note,causes_seagrass_change,sg_causes_coded,focal_resources,sg_dependence_note,resource_quality_change_note,resource_quantity_change_note,management_note,compliance_note,resource_change_note,resource_change_note.1,note,review_flag
0,mihili (1),low,sig_worse,sig_less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,veda de area,01,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
1,mavionho  (2),high,sig_worse,less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,Veda de area,02,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
2,salani (3),low,sig_worse,sig_less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,Veda de area,03,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
3,sigulula  (6),low,sig_worse,sig_less,other,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,veda de area,06,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
4,dzindrolo (50),high,sig_worse,sig_less,"gear_closure,other",75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,,50,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
5,mavandzi (56),high,sig_worse,no_change,area_closure,75_100,b6f6afb4-7c5a-44a1-97d5-74482f766527,,56,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
6,matewo (60),high,sig_worse,sig_less,none,,b6f6afb4-7c5a-44a1-97d5-74482f766527,,60,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
7,"mapalo, mavalo (61)",low,sig_worse,sig_less,none,,b6f6afb4-7c5a-44a1-97d5-74482f766527,,61,05032023JOSA01,5/8/2023 10:00:00 AM,josina_machel,sig_worse,"Ervas secaram e sairam. O tamanho  reduziu_se  as ervas de pirony , havia algas grandes mas diminuiu_se e o  mesmo aconteceu kelegele. Havia algas boas mas agoara nao.",sig_less,"Afecta pirony, gywindrituno, kelegele perderam muitas ervas marinhas.",As mudancas climaticas como as temperaturas altas no mar sufocaram as ervas e as correntes fortes arrastaram as ervas sem contar com o material nas redes de arrasto. Estes sao os principais factores negativamente na mudanca das ervas marinhas.,"human_disturbance,climate_change","01,02,03,06,50,56,60,61",,,,,,Leia 1.C,"human_disturbance,climate_change","

                                                                                                                                                                                                                         JR",0.0
8,mihili (1),none,sig_worse,sig_less,gear_closure,75_100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,,01,04022023CHAA01,5/8/2023 10:00:00 AM,chamane,no_change,"Nao ha mudanca, as eravas ce antiguidade eram mais saudaveis porque o homem nao explorava com muita frequencia oa recursos marinhos pois, agora com a introducao das artes diversas em particular as redes de arrasto. Mas, contudo nas zonas com rochas o Homem nao consegue exercer as suas actividades , o que faz com que as ervas crescam, vivam e se regenerem natualmente.",sig_less,"Ve_se muita reducao das ervas marinhas por causa das redes de arrasto mas, ha melhoria resultante do plantio das mesmas. As partes das rochas no mar, da impacto na concervacao das ervas porque o Homem nao pode exercer as suas actividades devido a essa  rochas.","As redes de arrasto sao o ,maior factor dessa mudanca.",human_disturbance,"01,02,03,50,56,60,78",,,"A reducao na quantidade e resultante ao esforco da actividade pesqueira, o numero da populacao que pratica a pesca subiu e, em contrapartida as artes estao demasiadas para alem da introducao das redes nossivas.",,"Ha parte de pessoas que invadem a gestao destes recursos. A populacao aceita por obrigacao e, se  cumpre e mesmo por rigorosidade dos dirigentes mas, a percentagem de pessoas que recusam e muito reduzida.","A qualidade assim como a quantidade , reduziram_se devido as redes nossivas, estas, que arrastam ate as especies muito pequenas que nao chegaram ao ponto de reproduzir. Ha bercarios mas, sao ivadidos assim, sao afugentadas as especies para o oceano. O governo podia ajudar na aquisicao das redes propicias aos pescadores porque a pesca como base de sobrevivencia, a pessoa busca solucoes para tal introduzindo ate as redes mosquiteiras.",human_disturbance,"

                                                                                                                                                                                                                    JR",0.0
9,mavionho  (2),none,sig_worse,sig_less,gear_closure,75_100,2f7b61dd-e0c8-47f0-9c0b-9879a3cee5a1,,02,04022023CHAA01,5/8/2023 10:00:00 AM,chamane,no_change,"Nao ha mudanca, as eravas ce antiguidade eram mais saudaveis porque o homem nao explorava com muita frequencia oa recursos marinhos pois, agora com a introducao das artes diversas em particular as redes de arrasto. Mas, contudo nas zonas com rochas o Homem nao consegue exercer as suas actividades , o que faz com que as ervas crescam, vivam e se regenerem natualmente.",sig_less,"Ve_se muita reducao das ervas marinhas por causa das redes de arrasto mas, ha melhoria resultante do plantio das mesmas. As partes das rochas no mar, da impacto na concervacao das ervas porque o Homem nao pode exercer as suas actividades devido a essa  rochas.","As redes de arrasto sao o ,maior factor dessa mudanca.",human_disturbance,"01,02,03,50,56,60,78",,,"A reducao na quantidade e resultante ao esforco da actividade pesqueira, o numero da populacao que pratica a pesca subiu e, em contrapartida as artes estao demasiadas para alem da introducao das redes nossivas.",,"Ha parte de pessoas que invadem a gestao destes recursos. A populacao aceita por obrigacao e, se  cumpre e mesmo por rigorosidade dos dirigentes mas, a percentagem de pessoas que recusam e muito reduzida.","A qualidade assim como a quantidade , reduziram_se devido as redes nossivas, estas, que arrastam ate as especies muito pequenas que nao chegaram ao ponto de reproduzir. Ha bercarios mas, sao ivadidos assim, sao afugentadas as especies para o oceano. O governo podia ajudar na aquisicao das redes propicias aos pescadores porque a pesca como base de sobrevivencia, a pessoa busca solucoes para tal introduzindo ate as redes mosquiteiras.",human_disturbance,"

                                                                                                                                                                                                                    JR",0.0
