ID,Scientific Name,Fishbase Categorization of Seagrass Association,Local Knowledge of Seagrass Association,Agreement
1,Sillago sihama,0,0,agreement
2,Gerres oyena,1,0,conflict
3,Gerres longirostris,1,1,agreement
4,Pelates quadrilineatus,2,2,agreement
6,Crenidens crenidens,2,2,agreement
7,Decapterus russelli,0,0,agreement
10,Rastrellinger kanagurta,0,0,agreement
11,Amblygaster sirm,0,0,agreement
50,Portunus pelagicus,1,2,conflict
52,Scylla serrata,0,0,agreement
53,Penaeus monodon,1,0,conflict
54,Loligo forbesii,0,1,conflict
55,Sepia pharaonis,2,2,agreement
56,Penaeidae,1,1,agreement
60,Pinna muricata,1,2,conflict
61,Pinctada margaritifera,1,2,conflict
63,Tapes literatus,1,0,conflict
64,Siliqua polita,0,0,agreement
68,Solen cylindraceus,0,0,agreement
69,Garfarium pectinatum,1,0,conflict
70,Serratina capsoides,0,0,agreement
71,Callista florida,0,2,conflict
74,Terebralia palustris,0,0,agreement
78,Volema pyrum,1,0,conflict
