,focal_resource,sg_dep_median,mode,sg_dep_rescaled,sg_dep_reclass,sg_dep_cat
0,01,0.0,0,0.0,0,none
1,02,0.0,0,0.0,0,none
2,03,0.5,0,0.3333333333333333,1,none
3,04,3.0,3,2.0,2,high
4,06,2.5,3,1.6666666666666667,2,mod
5,07,0.0,0,0.0,0,none
6,10,0.0,0,0.0,0,none
7,11,0.0,0,0.0,0,none
8,37,0.0,0,0.0,0,none
9,50,3.0,3,2.0,2,high
10,52,0.0,0,0.0,0,none
11,53,0.0,0,0.0,0,none
12,54,1.0,1,0.6666666666666666,1,low
13,55,3.0,3,2.0,2,high
14,56,1.5,3,1.0,1,mod
15,60,3.0,3,2.0,2,high
16,61,3.0,3,2.0,2,high
17,63,0.0,0,0.0,0,none
18,64,0.0,0,0.0,0,none
19,68,0.0,0,0.0,0,none
20,69,0.0,0,0.0,0,none
21,70,0.0,0,0.0,0,none
22,71,3.0,3,2.0,2,high
23,74,0.0,0,0.0,0,none
24,78,0.0,0,0.0,0,none
