ccp,Sillago_sihama,Gerres_oyena,Gerres_longirostris,Teraponidae,Teraponidae,Crenidens_crenidens,Caranginae,Rastrellinger_kanagurta,Amblygaster_sirm,Portunus_pelagicus,scylla_serrata_,Penaeus_monodon,Loliginidae,Sepiidae,Penaeidae,Pinna_muricata,Margaritidae,Tapes_literatus,Siliqua_polita,Solenidae,Garfarium_pectinatum,Serratina_capsoides,Callista_florida,Volema_pyrum,Potamididae,nonfish_meat
chamane,0.1194444444444444,0.10277777777777779,0.15555555555555553,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,0.0,0.16969696969696968,0.0,0.0,0.0,0.0,0.1972222222222222,0.12222222222222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444425,0.0,0.06388888888888884
ilha,0.14999999999999997,0.04999999999999999,0.12999999999999998,0.010416666666666663,0.010416666666666663,0.11333333333333331,0.004166666666666662,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.08999999999999997,0.06296296296296294,0.04444444444444443,0.008333333333333325,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.01666666666666666
josina_machel,0.020833333333333325,0.09629629629629627,0.12592592592592589,0.0,0.0,0.09259259259259257,0.05185185185185182,0.0,0.033333333333333326,0.14444444444444443,0.0,0.0,0.0,0.02592592592592592,0.07916666666666665,0.08749999999999997,0.05555555555555552,0.004166666666666662,0.0,0.0,0.0,0.0,0.0,0.008333333333333325,0.0,0.06296296296296294
kuguana,0.18787878787878787,0.0125,0.0125,0.008333333333333331,0.008333333333333331,0.0,0.0,0.0,0.0,0.11212121212121211,0.07999999999999999,0.026666666666666637,0.0,0.04999999999999999,0.07272727272727272,0.0,0.0,0.0,0.0,0.16363636363636358,0.0,0.125,0.0,0.041666666666666664,0.0,0.10606060606060605
madava,0.07037037037037036,0.0125,0.0125,0.04444444444444443,0.04444444444444443,0.0,0.0,0.0,0.0,0.10303030303030303,0.11515151515151514,0.06666666666666665,0.0,0.020833333333333325,0.1909090909090909,0.0,0.0,0.0,0.0,0.09090909090909088,0.0,0.036666666666666646,0.0,0.09666666666666664,0.0,0.13939393939393938
marrambone,0.10277777777777773,0.18888888888888888,0.1333333333333333,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.12499999999999994,0.0,0.0,0.0,0.0,0.15277777777777773,0.02727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036111111111111094,0.04999999999999997,0.06666666666666662
morrumbene,0.14242424242424243,0.0,0.0,0.0,0.0,0.0,0.008333333333333325,0.11999999999999995,0.0,0.1515151515151515,0.09999999999999996,0.0,0.04666666666666664,0.0,0.1696969696969697,0.0,0.0,0.0,0.08484848484848483,0.08484848484848483,0.0,0.0,0.0,0.0,0.0,0.08484848484848481
mucucune,0.07916666666666662,0.10416666666666664,0.12499999999999997,0.00625,0.00625,0.07083333333333332,0.0,0.0,0.0,0.16249999999999998,0.0,0.0,0.008333333333333325,0.008333333333333325,0.1458333333333333,0.0,0.004166666666666662,0.04999999999999996,0.0,0.0,0.0,0.0,0.024999999999999988,0.054166666666666655,0.0,0.10833333333333331
nguja,0.1333333333333333,0.07083333333333333,0.0,0.08541666666666665,0.08541666666666665,0.11249999999999998,0.0,0.0,0.0,0.1958333333333333,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.062499999999999986,0.0,0.0,0.054166666666666655,0.0,0.0,0.0,0.0,0.04583333333333331
nhamaxaxa,0.07499999999999996,0.10370370370370369,0.05833333333333333,0.03571428571428571,0.03571428571428571,0.03333333333333331,0.02916666666666665,0.0,0.05185185185185182,0.17037037037037037,0.0,0.0,0.0,0.008333333333333325,0.1185185185185185,0.033333333333333326,0.0,0.029629629629629624,0.0,0.0,0.03333333333333333,0.0,0.07037037037037036,0.0,0.0,0.04074074074074071
nhampossa,0.11999999999999997,0.03333333333333332,0.11999999999999997,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.14666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.06000000000000001,0.0,0.04,0.0,0.03999999999999998
nhamua,0.059259259259259206,0.13333333333333328,0.09166666666666665,0.0,0.0,0.016666666666666663,0.07037037037037032,0.0,0.008333333333333325,0.17777777777777773,0.0,0.0,0.0,0.0,0.11851851851851847,0.1296296296296296,0.10740740740740738,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0185185185185185
sahane,0.09999999999999999,0.041666666666666664,0.016666666666666663,0.014583333333333332,0.014583333333333332,0.016666666666666663,0.0,0.0,0.0,0.24166666666666664,0.0,0.0,0.0,0.0,0.07499999999999998,0.11249999999999998,0.0,0.062499999999999986,0.0,0.0,0.14999999999999997,0.0,0.029166666666666664,0.0,0.0,0.037499999999999964
