ccp,Sillago_sihama,Gerres_oyena,Gerres_longirostris,Teraponidae,Teraponidae,Crenidens_crenidens,Caranginae,Rastrellinger_kanagurta,Amblygaster_sirm,Portunus_pelagicus,scylla_serrata_,Penaeus_monodon,Loliginidae,Sepiidae,Penaeidae,Pinna_muricata,Margaritidae,Tapes_literatus,Siliqua_polita,Solenidae,Garfarium_pectinatum,Serratina_capsoides,Callista_florida,Volema_pyrum,Potamididae
chamane,0.36666666666666664,0.14285714285714285,0.4966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10476190476190474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilha,0.43333333333333335,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666665,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
josina_machel,0.3333333333333333,0.1111111111111111,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kuguana,0.5555555555555556,0.0,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.06666666666666668,0.08518518518518518,0.0,0.08095238095238096,0.1185185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.0
madava,0.27777777777777773,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.16666666666666666,0.0
marrambone,0.44999999999999996,0.07777777777777778,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.11851851851851852
morrumbene,0.5909090909090909,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.05185185185185184,0.07999999999999999,0.0,0.058333333333333334,0.016666666666666663,0.19999999999999998,0.0,0.0,0.0,0.016666666666666663,0.0,0.0,0.0,0.0,0.0,0.0
mucucune,0.49166666666666664,0.016666666666666663,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nguja,0.5571428571428572,0.13333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
nhamaxaxa,0.4523809523809524,0.3,0.29444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222216,0.0,0.0,0.0111111111111111,0.0,0.0,0.0,0.0,0.0111111111111111,0.0,0.0
nhampossa,0.26666666666666666,0.0,0.29333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0
nhamua,0.16666666666666666,0.0,0.5476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sahane,0.5722222222222222,0.1722222222222222,0.09444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.10555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
