,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,sg_dep_median,sg_dep_cat,prop_cap_hot,prop_cap_cold,days_hot,days_cold,cap_daily_hot,cap_daily_cold,cap_monthly_hot,cap_monthly_cold,cap_income_hot,cap_income_cold,val_trade_hot,val_trade_cold,activity_income_hot,activity_income_cold,income_fr_hot,income_fr_cold,tot_income_hot,tot_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat,seagrass
173,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2,0.1666666666666666,2.0,4.0,3.0,2.0,12.0,16.0,160.0,200.0,0.0,0.0,600.0,600.0,160.0,200.0,760.0,800.0,0.21052631578947367,0.25,14022023SAHB06,sahane,m,hand_line,fish,0.0
214,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.0333333333333333,0.3333333333333333,3.0,3.0,15.0,18.0,90.0,108.0,584.9999999999999,486.00000000000006,0.0,0.0,0.0,1250.0,584.9999999999999,486.00000000000006,48326.666666666664,6302.666666666666,0.012105117947303075,0.07711021789718639,01022023MORB07,morrumbene,m,drag_net,fish,0.0
219,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.5333333333333333,0.1333333333333333,7.0,8.0,3.0,8.0,42.0,128.0,4900.0,12800.0,0.0,0.0,0.0,0.0,4900.0,12800.0,11566.666666666668,27800.0,0.4236311239193083,0.460431654676259,08032023MORB08,morrumbene,m,hand_line,fish,0.0
252,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.0666666666666666,5.0,2.0,24.0,18.0,240.0,72.0,3300.0,990.0,0.0,0.0,0.0,0.0,3300.0,990.0,47696.0,28390.0,0.06918819188191883,0.03487143360338147,07022023CUGB04,kuguana,f,drag_net,fish,0.0
112,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.0666666666666666,0.0666666666666666,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4180.0,4737.333333333333,0.0,0.0,31012023MUCB06,mucucune,m,gill_net,fish,0.0
221,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2333333333333333,0.2333333333333333,7.0,7.0,7.5,7.0,105.0,98.0,12600.0,17640.0,0.0,0.0,0.0,0.0,12600.0,17640.0,27960.0,26640.0,0.45064377682403434,0.6621621621621622,18022023ILHB01,ilha,m,fence_trap,fish,0.0
37,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.3333333333333333,0.0666666666666666,1.0,1.0,1.0,0.5,2.0,1.0,33.33333333333333,16.666666666666664,0.0,0.0,600.0,600.0,33.33333333333333,16.666666666666664,733.3333333333333,666.6666666666666,0.045454545454545456,0.024999999999999998,04022023CHAB02,chamane,m,hand_line,fish,0.0
40,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2666666666666666,0.0666666666666666,4.0,3.0,7.0,2.0,56.0,12.0,5040.0,1223.9999999999998,0.0,0.0,0.0,0.0,5040.0,1223.9999999999998,19519.04761904762,6535.428571428572,0.258209319346182,0.1872868759290023,04022023CHAB03,chamane,m,hand_line,fish,0.0
100,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1333333333333333,0.1,1.0,1.0,5.0,2.0,10.0,4.0,800.0,320.0,0.0,0.0,4000.0,4000.0,800.0,320.0,32500.0,20496.666666666664,0.024615384615384615,0.015612294682062126,31012023MUB02,mucucune,m,fence_trap,fish,0.0
95,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.1,0.1333333333333333,3.0,4.0,24.0,30.0,144.0,240.0,12096.0,8640.0,0.0,0.0,0.0,0.0,12096.0,8640.0,46944.0,72352.0,0.25766871165644173,0.11941618752764263,31012023MUCB01,mucucune,m,fence_trap,fish,0.0
