,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
173,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.2,0.1666666666666666,12.0,16.0,14022023SAHB06,sahane,m,hand_line,fish
214,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.0333333333333333,0.3333333333333333,90.0,108.0,01022023MORB07,morrumbene,m,drag_net,fish
219,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.5333333333333333,0.1333333333333333,42.0,128.0,08032023MORB08,morrumbene,m,hand_line,fish
252,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.1666666666666666,0.0666666666666666,240.0,72.0,07022023CUGB04,kuguana,f,drag_net,fish
112,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.0666666666666666,0.0666666666666666,,,31012023MUCB06,mucucune,m,gill_net,fish
221,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.2333333333333333,0.2333333333333333,105.0,98.0,18022023ILHB01,ilha,m,fence_trap,fish
37,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.3333333333333333,0.0666666666666666,2.0,1.0,04022023CHAB02,chamane,m,hand_line,fish
40,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.2666666666666666,0.0666666666666666,56.0,12.0,04022023CHAB03,chamane,m,hand_line,fish
100,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.1333333333333333,0.1,10.0,4.0,31012023MUB02,mucucune,m,fence_trap,fish
95,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.1,0.1333333333333333,144.0,240.0,31012023MUCB01,mucucune,m,fence_trap,fish
