,ParentGlobalID,id,ccp,gender,fish_pract,owner,catch_proportion,pract_cat
0,5242b473-cb0e-43ec-bc8f-6e626f4ee1d3,13022023NHAMUB02,nhamua,f,glean,,1.0,glean
1,3f3b6da1-f4ee-467b-9647-aefe9851351f,16022023NHMUB05,nhamua,f,glean,,1.0,glean
2,8b4320ee-bf8d-4616-b0bc-d8bc33e9cc99,16022023NHMUB07,nhamua,m,gill_net,owner,0.33,fish
3,1205bf41-13d7-4421-b564-4a77c527cd17,13022023NHMUB01,nhamua,m,fence_trap,owner,1.0,fish
4,310a5eff-b95e-4979-a0dd-c98a7703f436,13022023NHMUB03,nhamua,m,gill_net,NR,0.25,fish
5,310a5eff-b95e-4979-a0dd-c98a7703f436,13022023NHMUB03,nhamua,m,glean,,1.0,glean
6,4baf4004-6764-4530-a467-07a85d6231ee,16022023NHMUB04,nhamua,f,shrimp_net,worker,0.385,shrimp_net
7,0d25df79-dc4d-42aa-9bc9-3b705d683d68,16022023NHMUB06,nhamua,m,gill_net,owner,0.45,fish
8,84c51f1a-1d76-4548-b5d1-2ff016fdff3c,16022023NHMUB08,nhamua,f,shrimp_net,owner,1.0,shrimp_net
9,c440707b-35aa-4bca-abca-50c81f169c89,15022023JOSB01,josina_machel,m,gill_net,owner,0.75,fish
10,c970df6e-cd2f-4068-a322-0f4b0018e5f5,15022023JOSB02,josina_machel,m,diving,,1.0,fish
11,c970df6e-cd2f-4068-a322-0f4b0018e5f5,15022023JOSB02,josina_machel,m,glean,,1.0,glean
12,3e185060-4034-4ece-9bd3-fa7aad0a4c83,15022023JOSB03,josina_machel,m,glean,,1.0,glean
13,37446c9d-41b8-4942-8a68-e30fce638745,15022023JOSB04,josina_machel,m,shrimp_net,owner,1.0,shrimp_net
14,339c9818-8caa-4798-9a51-85ba26bc71c3,15022023JOSB05,josina_machel,f,shrimp_net,owner,1.0,shrimp_net
15,e6132e33-e9f3-45ea-a5cf-7d565844a22c,15022023JOSB06,josina_machel,m,hand_line,,1.0,fish
16,59848ba5-82a3-4de3-b546-44d37605c0d9,15022023JOSB07,josina_machel,m,diving,,1.0,fish
17,1d5f5cdd-4deb-4017-ae95-ed677c22bd24,09032023JOSB08,josina_machel,f,glean,,1.0,glean
18,21b02f45-d7ae-4f05-9a52-89dad34349af,04022023CHAB01,chamane,m,glean,,1.0,glean
19,5861a90d-3554-4a81-b5e8-e8f9870b88fb,04022023CHAB02,chamane,m,hand_line,,1.0,fish
20,d4d143b4-de71-42bd-be9e-b42bcadd5863,04022023CHAB03,chamane,m,hand_line,,1.0,fish
21,d4d143b4-de71-42bd-be9e-b42bcadd5863,04022023CHAB03,chamane,m,shrimp_net,owner,1.0,shrimp_net
22,7dc8a846-da63-495f-815e-10c1c4b6720d,04022023CHAB04,chamane,f,shrimp_net,owner,1.0,shrimp_net
23,7793fa9e-5754-44f7-a642-e8e243e6ff55,04022023CHAB05,chamane,m,shrimp_net,owner,0.5,shrimp_net
24,d9f43af5-8ab9-476c-bcbd-809deddcdd71,04022023CHAB06,chamane,f,glean,,1.0,glean
25,6b249316-c1e7-4f4f-a49f-435e11af63a2,04022023CHAB07,chamane,m,gill_net,owner,1.0,fish
26,6b249316-c1e7-4f4f-a49f-435e11af63a2,04022023CHAB07,chamane,m,hand_line,,1.0,fish
27,6b249316-c1e7-4f4f-a49f-435e11af63a2,04022023CHAB07,chamane,m,shrimp_net,owner,1.0,shrimp_net
28,6b249316-c1e7-4f4f-a49f-435e11af63a2,04022023CHAB07,chamane,m,glean,,1.0,glean
29,fb35740b-c147-41b7-b604-35eed1bf5c77,04022023CHAB08,chamane,m,gill_net,owner,0.66,fish
30,fb35740b-c147-41b7-b604-35eed1bf5c77,04022023CHAB08,chamane,m,shrimp_net,owner,0.5,shrimp_net
31,786726d4-2b8e-46a0-ab5f-1339cbe1ab7b,26012023MARB01,marrambone,f,shrimp_net,worker,1.0,shrimp_net
32,6e76bb44-7881-4dfe-aff2-019452e7f1ef,02022023MARB02,marrambone,f,glean,,1.0,glean
33,6e76bb44-7881-4dfe-aff2-019452e7f1ef,02022023MARB02,marrambone,f,shrimp_net,owner,1.0,shrimp_net
34,ae7d8f6f-e1d1-484c-b65d-5b64c4bec7b8,02022023MARB03,marrambone,f,shrimp_net,owner,1.0,shrimp_net
35,fa135abb-d0cf-4f86-81fa-d786fd8a957a,02022023MARB04,marrambone,f,glean,,1.0,glean
36,fa135abb-d0cf-4f86-81fa-d786fd8a957a,02022023MARB04,marrambone,f,shrimp_net,owner,1.0,shrimp_net
37,fa135abb-d0cf-4f86-81fa-d786fd8a957a,02022023MARB04,marrambone,f,gill_net,owner,1.0,fish
38,e8d84b41-6838-4a4d-b98d-66385c122993,02022023MARB05,marrambone,m,fence_trap,owner,1.0,fish
39,a9a9124d-f801-444e-a6ac-6f1064ecb6a6,02022023MARB06,marrambone,m,hand_line,,1.0,fish
40,c4bf73af-5f99-4b43-abd8-9373a369c415,02022023MARB07,marrambone,m,gill_net,owner,1.0,fish
41,53eb3e09-7bc8-4d11-868d-4415c4329998,02022023MARB08,marrambone,m,basket_trap,owner,1.0,fish
42,926e019e-024f-43c8-8bfb-1a8170a861dd,02022023MARB09,marrambone,f,shrimp_net,owner,1.0,shrimp_net
43,47619fa4-71bc-4eef-b706-4e52c3cd7db8,31012023MUCB01,mucucune,m,basket_trap,owner,1.0,fish
44,47619fa4-71bc-4eef-b706-4e52c3cd7db8,31012023MUCB01,mucucune,m,fence_trap,owner,1.0,fish
45,b1aecc22-d28c-4728-9c70-966d76a26e88,31012023MUB02,mucucune,m,fence_trap,owner,1.0,fish
46,84267d00-7c2a-415c-b15e-d1f3a08a24ea,31012023MUCB03,mucucune,f,glean,,1.0,glean
47,668fcae1-2e89-417d-b2f7-cca29ae88fcf,31012023MUCB04,mucucune,f,glean,,1.0,glean
48,942decee-217f-4b36-be4c-3948ed7665d0,31012023MUCB05,mucucune,m,hand_line,,1.0,fish
49,72b20ec3-78b0-44b1-8f62-06504a26e4c5,31012023MUCB06,mucucune,m,gill_net,owner,0.5,fish
50,a744e3c9-d3d2-4588-b6cd-900a3f4f4286,31012023MUCB07,mucucune,f,shrimp_net,owner,1.0,shrimp_net
51,615838ac-55f5-4537-ba76-fecefaddd226,31012023MUCB08,mucucune,f,shrimp_net,owner,1.0,shrimp_net
52,cc36442d-39f0-46d9-996a-421e2a247b36,09022023NHMPB01,nhampossa,m,basket_trap,owner,1.0,fish
53,a00016e0-0782-4f50-a9a8-4a5e202f5c50,09022023NHMPB02,nhampossa,m,gill_net,owner,0.5,fish
54,1469e0fd-0691-405e-b1e8-c144e854fbb7,09022023NHMPB03,nhampossa,f,shrimp_net,owner,1.0,shrimp_net
55,caac8748-ebed-413c-a5d2-a635b5bd8932,09022023NHMPB04,nhampossa,m,fence_trap,owner,1.0,fish
