,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,cap_income_hot,cap_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat
64,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.0,0.0,0.0,0.0,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
41,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,5040.0,1223.9999999999998,0.258209319346182,0.1872868759290023,04022023CHAB03,chamane,m,hand_line,fish
183,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,3040.0,1013.3333333333333,1.0,0.3518518518518518,04032023NGUB01,nguja,m,hand_line,fish
180,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,160.0,200.0,0.21052631578947367,0.25,14022023SAHB06,sahane,m,hand_line,fish
222,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,584.9999999999999,486.00000000000006,0.012105117947303075,0.07711021789718639,01022023MORB07,morrumbene,m,drag_net,fish
50,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,13800.0,3066.666666666667,0.3092601979564069,0.44435857805255025,04022023CHAB07,chamane,m,gill_net,fish
51,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,13800.0,3066.666666666667,0.3092601979564069,0.44435857805255025,04022023CHAB07,chamane,m,hand_line,fish
265,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,3300.0,990.0,0.051831375259156875,0.024787180771156735,07022023CUGB04,kuguana,f,drag_net,fish
56,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,70.39999999999999,88.0,0.029810713464633296,0.08233532934131735,04022023CHAB08,chamane,m,gill_net,fish
174,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,4000.0,2000.0,1.0,0.7692307692307693,14022023SAHB02,sahane,m,hand_line,fish
227,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,4900.0,12800.0,0.4236311239193083,0.460431654676259,08032023MORB08,morrumbene,m,hand_line,fish
167,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,8400.0,4266.666666666666,0.47191011235955055,0.3926380368098159,09032023NHCHB07,nhamaxaxa,m,hand_line,fish
163,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,1000.0,600.0,0.2777777777777778,0.75,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
75,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,7199.999999999999,5040.0,0.2594594594594595,0.1761416589002796,02022023MARB04,marrambone,f,gill_net,fish
38,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,33.33333333333333,16.666666666666664,0.045454545454545456,0.024999999999999998,04022023CHAB02,chamane,m,hand_line,fish
161,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,0.0,0.0,0.0,0.0,17022023NHCHB04,nhamaxaxa,m,gill_net,fish
87,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,1260.0,3500.0,0.0696447414702779,0.7002168413444163,02022023MARB06,marrambone,m,hand_line,fish
90,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,1559.9999999999998,5760.0,0.025003285688183382,0.5803770099500399,02022023MARB07,marrambone,m,gill_net,fish
158,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,6912.0,600.0,0.6428571428571429,0.29411764705882354,17022023NHCHB03,nhamaxaxa,m,gill_net,fish
229,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,12600.0,17640.0,0.45064377682403434,0.6621621621621622,18022023ILHB01,ilha,m,fence_trap,fish
253,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,1920.0,19200.0,0.02263671536640296,0.2503028763702487,24012023CUGB02,kuguana,m,gill_net,fish
98,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,12096.0,8640.0,0.25766871165644173,0.11941618752764263,31012023MUCB01,mucucune,m,fence_trap,fish
103,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,800.0,320.0,0.024615384615384615,0.015612294682062126,31012023MUB02,mucucune,m,fence_trap,fish
213,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,2160.0,1599.9999999999995,0.13922859830667922,0.19970631424375912,01022023MORBO5,morrumbene,m,fence_trap,fish
237,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,none,2800.0,0.0,0.7,0.0,19022023ILHB05,ilha,m,hand_line,fish
