,nutrition_source,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,sg_dep_median,sg_dep_cat,nutrition_prop_hot_raw,nutrition_prop_hot,nutrition_prop_cold_raw,nutrition_prop_cold,ParentGlobalID,ccp,gender,fish_pract,pract_cat,id
0,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,2,0.0666666666666666,2,0.0666666666666666,5242b473-cb0e-43ec-bc8f-6e626f4ee1d3,nhamua,f,glean,glean,13022023NHAMUB02
426,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,4,0.1333333333333333,4,0.1333333333333333,caac8748-ebed-413c-a5d2-a635b5bd8932,nhampossa,m,fence_trap,fish,09022023NHMPB04
434,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,5,0.1666666666666666,3,0.1,a9325c3b-f81d-431a-9628-6b0b57ede5e3,nhampossa,f,gill_net,fish,09022023NHMPB05
455,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,3,0.1,be5b94c1-65c2-44dc-af3c-8a0c1f35f055,madava,m,drag_net,fish,08022023MADB02
489,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,8,0.2666666666666666,8,0.2666666666666666,8407b1b2-9c62-4161-a560-a8c8415ca76a,madava,m,gill_net,fish,08022023MADB06
508,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,4,0.1333333333333333,4,0.1333333333333333,1436c090-ffc1-44f1-8a1f-115e2164b9b1,madava,f,shrimp_net,shrimp_net,08022023MADB08
509,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,4,0.1333333333333333,4,0.1333333333333333,1436c090-ffc1-44f1-8a1f-115e2164b9b1,madava,f,glean,glean,08022023MADB08
538,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,2,0.0666666666666666,3,0.1,8719e18a-7160-440e-884e-330fdba6d7a1,nhamaxaxa,f,glean,glean,17022023NHCHB02
541,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,2,0.0666666666666666,2,0.0666666666666666,43fe56c7-3c31-4683-bea1-c741c3af6618,nhamaxaxa,m,gill_net,fish,17022023NHCHB03
550,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,2,0.0666666666666666,2,0.0666666666666666,affb9ddf-bde5-4005-8a5c-962978da994f,nhamaxaxa,m,gill_net,fish,17022023NHCHB04
562,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,2,0.0666666666666666,4,0.1333333333333333,ba1de70c-3350-4192-9540-077338da9ce6,nhamaxaxa,m,hand_line,fish,17022023NHCHB05
566,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,4,0.1333333333333333,4,0.1333333333333333,8536dca4-ea83-4248-865b-3b13873d1a90,nhamaxaxa,m,hand_line,fish,09032023NHCHB07
106,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,3,0.1,37446c9d-41b8-4942-8a68-e30fce638745,josina_machel,m,shrimp_net,shrimp_net,15022023JOSB04
577,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,4,0.1333333333333333,c084112a-11e6-48d0-848c-4b62c67bb16f,nhamaxaxa,f,shrimp_net,shrimp_net,09032023NHCHB08
578,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,4,0.1333333333333333,c084112a-11e6-48d0-848c-4b62c67bb16f,nhamaxaxa,f,glean,glean,09032023NHCHB08
94,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,2,0.0666666666666666,2,0.0666666666666666,3e185060-4034-4ece-9bd3-fa7aad0a4c83,josina_machel,m,glean,glean,15022023JOSB03
593,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,3,0.1,fbee7783-67bd-4ec0-86d8-32300ae0d600,sahane,m,shrimp_net,shrimp_net,14022023SAHB01
598,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,0,0.0,f1ab0d58-a047-4854-9fab-5639a38d0919,sahane,m,hand_line,fish,14022023SAHB02
607,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,2,0.0666666666666666,2dd5e1ed-eeed-47b2-827d-a0705fc23c7a,sahane,f,glean,glean,14022023SAHB03
618,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,6,0.2,7,0.2333333333333333,b5c8d980-c4f9-408d-93d1-0b4dad9a664c,sahane,f,glean,glean,14022023SAHB05
623,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,4,0.1333333333333333,5,0.1666666666666666,5aeb00bc-7c10-415f-8538-cfe07ef741c2,sahane,m,hand_line,fish,14022023SAHB06
630,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,5,0.1666666666666666,5,0.1666666666666666,9bff2b72-1a93-44b5-b64e-81957664ac2e,sahane,f,shrimp_net,shrimp_net,14022023SAHB07
639,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,6,0.2,6,0.2,a6e2b0b2-8d88-42c8-b600-7b0619713312,nguja,m,hand_line,fish,04032023NGUB01
646,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,3,0.1,3,0.1,a9702bf4-6440-4e06-9f33-8f26a998afd3,nguja,f,glean,glean,04032023NGUB02
651,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,4,0.1333333333333333,3,0.1,dc97eb44-cd78-4a2c-88bb-90d04851de2c,nguja,f,glean,glean,04032023NGUB03
657,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,2,0.0666666666666666,2,0.0666666666666666,e333971e-3a2f-473c-9783-d10538bbc0aa,nguja,m,hand_line,fish,04032023NGUB04
665,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,6,0.2,6,0.2,8abbe022-1d3d-4f37-989c-f804596f7402,nguja,m,gill_net,fish,04032023NGUB05
670,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,7,0.2333333333333333,7,0.2333333333333333,efe0ad7e-97bf-4dbb-802a-4e8575a54c9d,nguja,m,gill_net,fish,04032023NGUB06
419,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,5,0.1666666666666666,4,0.1333333333333333,1469e0fd-0691-405e-b1e8-c144e854fbb7,nhampossa,f,shrimp_net,shrimp_net,09022023NHMPB03
