,resource_id,sg_dep_median,sg_dep_cat,social,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
90,01,0.0,none,0.4666666666666667,fa135abb-d0cf-4f86-81fa-d786fd8a957a,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,gill_net,fish
254,01,0.0,none,0.2666666666666666,943aa64d-7c5c-4594-944e-529e0b325617,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,01022023MOR04,morrumbene,f,glean,glean
73,01,0.0,none,0.1666666666666666,fb35740b-c147-41b7-b604-35eed1bf5c77,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,shrimp_net,shrimp_net
127,01,0.0,none,0.1333333333333333,b1aecc22-d28c-4728-9c70-966d76a26e88,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,31012023MUB02,mucucune,m,fence_trap,fish
72,01,0.0,none,0.1666666666666666,fb35740b-c147-41b7-b604-35eed1bf5c77,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB08,chamane,m,gill_net,fish
272,01,0.0,none,,8423da8b-88cf-49f4-8723-5e442b776d59,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,18022023ILHB01,ilha,m,fence_trap,fish
271,01,0.0,none,0.6666666666666666,3f9d47fc-5dc8-4cf3-9ee0-ac3b9d7d8390,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,08032023MORB08,morrumbene,m,hand_line,fish
103,01,0.0,none,0.1333333333333333,e8d84b41-6838-4a4d-b98d-66385c122993,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB05,marrambone,m,fence_trap,fish
122,01,0.0,none,0.1666666666666666,47619fa4-71bc-4eef-b706-4e52c3cd7db8,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,31012023MUCB01,mucucune,m,basket_trap,fish
120,01,0.0,none,0.4,926e019e-024f-43c8-8bfb-1a8170a861dd,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB09,marrambone,f,shrimp_net,shrimp_net
262,01,0.0,none,0.2,b4a29a62-c0e1-40fd-835b-a134449801ca,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,O1O22023MOR06,morrumbene,m,drag_net,fish
118,01,0.0,none,0.5333333333333333,53eb3e09-7bc8-4d11-868d-4415c4329998,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB08,marrambone,m,basket_trap,fish
89,01,0.0,none,0.4666666666666667,fa135abb-d0cf-4f86-81fa-d786fd8a957a,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,shrimp_net,shrimp_net
46,01,0.0,none,0.3,d4d143b4-de71-42bd-be9e-b42bcadd5863,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,hand_line,fish
47,01,0.0,none,0.3,d4d143b4-de71-42bd-be9e-b42bcadd5863,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,shrimp_net,shrimp_net
65,01,0.0,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,glean,glean
64,01,0.0,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,shrimp_net,shrimp_net
63,01,0.0,none,0.3333333333333333,6b249316-c1e7-4f4f-a49f-435e11af63a2,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB07,chamane,m,gill_net,fish
113,01,0.0,none,0.2333333333333333,c4bf73af-5f99-4b43-abd8-9373a369c415,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB07,marrambone,m,gill_net,fish
258,01,0.0,none,0.2666666666666666,d92b97c0-4a75-4f45-9115-4cb6ac9109ad,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,01022023MORBO5,morrumbene,m,fence_trap,fish
54,01,0.0,none,0.2666666666666666,7dc8a846-da63-495f-815e-10c1c4b6720d,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,04022023CHAB04,chamane,f,shrimp_net,shrimp_net
202,01,0.0,none,0.1666666666666666,8407b1b2-9c62-4161-a560-a8c8415ca76a,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,08022023MADB06,madava,m,gill_net,fish
27,01,0.0,none,0.8333333333333334,0d25df79-dc4d-42aa-9bc9-3b705d683d68,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,16022023NHMUB06,nhamua,m,gill_net,fish
218,01,0.0,none,0.6666666666666666,8536dca4-ea83-4248-865b-3b13873d1a90,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,09032023NHCHB07,nhamaxaxa,m,hand_line,fish
279,01,0.0,none,,f5769b1d-ab41-4ec3-9364-13194af91f08,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,19022023ILHB05,ilha,m,hand_line,fish
109,01,0.0,none,0.3,a9a9124d-f801-444e-a6ac-6f1064ecb6a6,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB06,marrambone,m,hand_line,fish
6,01,0.0,none,0.1333333333333333,1205bf41-13d7-4421-b564-4a77c527cd17,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,13022023NHMUB01,nhamua,m,fence_trap,fish
88,01,0.0,none,0.4666666666666667,fa135abb-d0cf-4f86-81fa-d786fd8a957a,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,glean,glean
12,01,0.0,none,0.1666666666666666,310a5eff-b95e-4979-a0dd-c98a7703f436,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,13022023NHMUB03,nhamua,m,gill_net,fish
175,01,0.0,none,0.1428333333333333,be5b94c1-65c2-44dc-af3c-8a0c1f35f055,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,08022023MADB02,madava,m,drag_net,fish
13,01,0.0,none,0.1666666666666666,310a5eff-b95e-4979-a0dd-c98a7703f436,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,13022023NHMUB03,nhamua,m,glean,glean
300,01,0.0,none,0.3666666666666666,f24eae6e-daf3-4cb3-bc7f-4c8139f8238b,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,07022023CUGB03,kuguana,f,glean,glean
228,01,0.0,none,0.5,5aeb00bc-7c10-415f-8538-cfe07ef741c2,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,14022023SAHB06,sahane,m,hand_line,fish
