,fish,glean,shrimp_net
AG1_index,0.3958333333333333,0.5,0.20833333333333334
AG2_index,0.6666666666666666,0.2916666666666667,0.2916666666666667
AS1_index,0.6075279350818438,0.5216434849903203,0.527511144327745
AS2_index,0.23327274575301418,0.04502415666800277,0.07852478657014718
AS3_index,0.19148936170212766,0.20833333333333334,0.21739130434782608
Agency,0.53125,0.3958333333333333,0.25
Assets,0.3452456698436393,0.2583336583305521,0.2768616153264284
F1_index,0.7135416666666666,0.7916666666666666,0.6041666666666666
F2_index,0.5052083333333334,0.7916666666666666,0.4583333333333333
Flexibility,0.609375,0.7916666666666666,0.53125
L1_index,0.7659574468085106,0.5217391304347826,0.6956521739130435
L2_index,0.8611111111111112,0.75,0.9375
L3_index,0.6521739130434783,0.5217391304347826,0.38095238095238093
L4_index,0.7608695652173914,0.43478260869565216,0.45
L5_index,0.3623188405797101,0.3333333333333333,0.3623188405797101
L6_index,0.8333333333333334,0.6666666666666666,0.6666666666666666
Learning,0.6898726851851852,0.5018518518518519,0.5589699074074074
O1_index,0.9166666666666666,0.875,0.7083333333333334
O2_index,0.6458333333333334,0.25,0.25
O3_index,0.9574468085106383,0.8636363636363636,0.7727272727272727
O4_index,0.9791666666666666,1.0,1.0
Organization,0.8715277777777778,0.7430555555555555,0.6805555555555555
